Fetching product list...
Got 318 products (API count: 318 )
DB ready. brandId: 18404fc5 catId: 9ee350a7 lineId: 3567ae4e
[66/318] OK: VVT 2210S | desc:2715 spec:10847 main:1 pdf:1
[67/318] OK: VMT 2216SV | desc:2725 spec:10694 main:1 pdf:1
[68/318] OK: MFT 1200 | desc:2651 spec:2178 main:1 pdf:1
[69/318] OK: PFS 3830TDC | desc:3239 spec:2929 main:1 pdf:1
[70/318] OK: PFS 2230D | desc:2303 spec:10205 main:1 pdf:1
[71/318] OK: PFS 10075D | desc:2825 spec:2494 main:1 pdf:1
[72/318] OK: PFS3875TDC | desc:3482 spec:4517 main:1 pdf:1
[73/318] OK: PFS 4510SV | desc:2649 spec:4855 main:1 pdf:1
[74/318] OK: PFS 150100T1 | desc:2747 spec:14785 main:1 pdf:1
[75/318] OK: SEPN 48200T | desc:3110 spec:3272 main:1 pdf:1
[76/318] OK: PFS 42200T | desc:3258 spec:3545 main:1 pdf:1
[77/318] OK: SEPN 3816TM(13816) | desc:3147 spec:7725 main:1 pdf:1
[78/318] OK: SEPN 100200T | desc:3241 spec:3945 main:1 pdf:1
[79/318] OK: SEPN 69200T(7150200) | desc:3222 spec:2502 main:1 pdf:1
[80/318] OK: SEPN 2550S(51050) | desc:4197 spec:11809 main:1 pdf:1
[81/318] OK: SEPN 100125T(F150125) | desc:3278 spec:2805 main:1 pdf:1
[82/318] OK: SEPN 6932T | desc:3115 spec:2621 main:1 pdf:1
[83/318] OK: CDN M1 | desc:1721 spec:3080 main:1 pdf:1
[84/318] OK: MFS 40 | desc:2040 spec:14755 main:1 pdf:1
[85/318] OK: CDN 418AFL8(4A) | desc:3456 spec:7932 main:1 pdf:1
[86/318] OK: PMF 120 | desc:2769 spec:2901 main:1 pdf:1
[87/318] OK: CDN 418TH8 | desc:3517 spec:7442 main:1 pdf:1
[88/318] OK: CDN 418CAN | desc:2965 spec:6585 main:1 pdf:1
[89/318] OK: DOS 400F | desc:3392 spec:9410 main:1 pdf:1
[90/318] SKIP exists: DOS 400F
[91/318] OK: CDN M2HV-32 | desc:2271 spec:5046 main:1 pdf:1
[92/318] OK: CDN M2-75 | desc:1721 spec:3080 main:1 pdf:1
[93/318] OK: CDN M2-100 | desc:1721 spec:3080 main:1 pdf:1
[94/318] OK: CCS 600(SR) | desc:5837 spec:5186 main:1 pdf:1
[95/318] OK: CCS 600(SD) | desc:5801 spec:4906 main:1 pdf:1
[96/318] OK: CCS 600(BSR) | desc:5817 spec:6226 main:1 pdf:1
[97/318] OK: CCS 600(BSDR) | desc:5645 spec:7122 main:1 pdf:1
[98/318] OK: CCS 600(BS) | desc:5609 spec:5050 main:1 pdf:1
[99/318] OK: CCS 600(BDS) | desc:5897 spec:5931 main:1 pdf:1
[100/318] OK: CCS 600(BD) | desc:5897 spec:4264 main:1 pdf:1
[101/318] OK: CDN M2M3 | desc:1721 spec:3080 main:1 pdf:1
[102/318] OK: CDN M2M3-16 | desc:1721 spec:3080 main:1 pdf:1
[103/318] OK: PFS 2205D | desc:2427 spec:2979 main:1 pdf:1
[104/318] OK: PFS 4525D | desc:2239 spec:2839 main:1 pdf:1
[105/318] OK: CDN M3-32 | desc:1721 spec:3080 main:1 pdf:1
[106/318] OK: PFS 2230SV | desc:3433 spec:14797 main:1 pdf:1
[107/318] OK: CDN M3L-75 | desc:1721 spec:3080 main:1 pdf:1
[108/318] OK: PFS 2225S | desc:1906 spec:10244 main:1 pdf:1
[109/318] OK: CDN M3-100 | desc:1721 spec:3080 main:1 pdf:1
[110/318] OK: CDN M3-100(AC 1500) | desc:1721 spec:3080 main:1 pdf:1
[111/318] OK: CDN M3L | desc:1721 spec:3080 main:1 pdf:1
[112/318] OK: CDN M4N-16 | desc:1721 spec:3080 main:1 pdf:1
[113/318] OK: CCS 800(STDR) | desc:5871 spec:7339 main:1 pdf:1
[114/318] OK: CCS 800(ST) | desc:5868 spec:5232 main:1 pdf:1
[115/318] OK: CCS 800(DS) | desc:5625 spec:5243 main:1 pdf:1
[116/318] OK: CCS 800(BSTD) | desc:5949 spec:7155 main:1 pdf:1
[117/318] OK: CCS 800(BST) | desc:5869 spec:6275 main:1 pdf:1
[118/318] OK: CCS 800(BSR) | desc:5212 spec:6633 main:1 pdf:1
[119/318] OK: CCS 800(BS) | desc:5949 spec:5450 main:1 pdf:1
[120/318] OK: CCS 800(BDS) | desc:5702 spec:6330 main:1 pdf:1
[121/318] OK: CCS 800(BSTR) | desc:5949 spec:7458 main:1 pdf:1
[122/318] OK: CDN M4N-32 | desc:1721 spec:3080 main:1 pdf:1
[123/318] OK: CDN M4PE-32 | desc:1721 spec:3080 main:1 pdf:1
[124/318] OK: CDN M4PE-32(AC690V 32A) | desc:1721 spec:3080 main:1 pdf:1
[125/318] OK: CDN M4N-75 | desc:1721 spec:3080 main:1 pdf:1
[126/318] OK: CDN M4PE-75 | desc:1721 spec:3080 main:1 pdf:1
[127/318] OK: CDN M4N-100 | desc:1721 spec:3080 main:1 pdf:1
[128/318] OK: CDN M4N-100(AC 1500) | desc:1721 spec:3080 main:1 pdf:1
[129/318] OK: CDN M4N-200 | desc:1721 spec:3080 main:1 pdf:1
[130/318] OK: CDN M5-32 | desc:1721 spec:3080 main:1 pdf:1
[131/318] OK: CDN M5-32(690) | desc:1721 spec:3080 main:1 pdf:1
[132/318] OK: CDN M5-75 | desc:1721 spec:3080 main:1 pdf:1
[133/318] OK: CDN M5-100 | desc:1721 spec:3080 main:1 pdf:1
[134/318] OK: CDN M5-100(AC 1500) | desc:1721 spec:3080 main:1 pdf:1
[135/318] OK: CCS 500(BSR) | desc:5620 spec:6697 main:1 pdf:1
[136/318] OK: CCS 500(BS) | desc:5589 spec:5423 main:1 pdf:1
[137/318] OK: CCS 500(BSD) | desc:5633 spec:6305 main:1 pdf:1
[138/318] OK: CCS 500(BD) | desc:5620 spec:2796 main:1 pdf:1
[139/318] OK: EDS MAX30 | desc:4901 spec:3322 main:1 pdf:1
[140/318] OK: CDN AF2 | desc:2689 spec:10931 main:1 pdf:1
[141/318] OK: EDS MAX20 | desc:4735 spec:3265 main:1 pdf:1
[142/318] OK: EDS MAX16 | desc:4865 spec:3670 main:1 pdf:1
[143/318] OK: CDN AF4 | desc:3038 spec:10280 main:1 pdf:1
[144/318] OK: EDS 30T | desc:3568 spec:1791 main:1 pdf:1
[145/318] OK: EDS 30V | desc:4185 spec:1858 main:1 pdf:1
[146/318] OK: MFS 400 | desc:3320 spec:1781 main:1 pdf:1
[147/318] OK: EDS 20H | desc:3890 spec:1730 main:1 pdf:1
[148/318] OK: CDN T2 | desc:2438 spec:10909 main:1 pdf:1
[149/318] OK: EDS 16H | desc:4119 spec:1796 main:1 pdf:1
[150/318] OK: CDN T4 | desc:3122 spec:10316 main:1 pdf:1
[151/318] OK: EDS 10IC | desc:2938 spec:15163 main:1 pdf:1
[152/318] OK: EDS 20HBM | desc:1182 spec:9160 main:1 pdf:1
[153/318] OK: CDN RJ45 | desc:2443 spec:7756 main:1 pdf:1
[154/318] OK: MFS AP系列 | desc:3977 spec:9214 main:1 pdf:1
[155/318] OK: MFS 1200 | desc:4339 spec:1809 main:1 pdf:1
[156/318] OK: MFS 1000D | desc:928 spec:10286 main:1 pdf:1
[157/318] OK: CDN S1 | desc:2433 spec:10998 main:1 pdf:1
[158/318] OK: MFS 1200AS2250 | desc:2958 spec:10945 main:1 pdf:1
[159/318] OK: CDN S4 | desc:3033 spec:10294 main:1 pdf:1
[160/318] OK: CDN SRJ45 | desc:3039 spec:9732 main:1 pdf:1
[161/318] OK: MFS 1000AS335 | desc:3316 spec:10186 main:1 pdf:1
[162/318] OK: CDN S9 | desc:1764 spec:4994 main:1 pdf:1
[163/318] OK: CDN S15 | desc:1766 spec:5083 main:1 pdf:1
[164/318] OK: CDN 419M5-63 | desc:2403 spec:1169 main:1 pdf:1
[165/318] OK: RWS 600(R-480-32-T) | desc:3532 spec:19101 main:1 pdf:1
[166/318] OK: RSG 40C20(DMS) | desc:1834 spec:1522 main:1 pdf:1
[167/318] OK: CDN 419M3-32 | desc:3698 spec:1398 main:1 pdf:1
[168/318] OK: RWS 600 | desc:2129 spec:10325 main:1 pdf:1
[169/318] OK: CDN 419M4N-32 | desc:3587 spec:1391 main:1 pdf:1
[170/318] OK: WCT 20 | desc:289 spec:4129 main:1 pdf:1
